t,0_x,0_y,0_z,0_v,1_x,1_y,1_z,1_v,2_x,2_y,2_z,2_v,3_x,3_y,3_z,3_v,4_x,4_y,4_z,4_v,5_x,5_y,5_z,5_v,6_x,6_y,6_z,6_v,7_x,7_y,7_z,7_v,8_x,8_y,8_z,8_v,9_x,9_y,9_z,9_v,10_x,10_y,10_z,10_v,11_x,11_y,11_z,11_v,12_x,12_y,12_z,12_v,13_x,13_y,13_z,13_v,14_x,14_y,14_z,14_v,15_x,15_y,15_z,15_v,16_x,16_y,16_z,16_v,17_x,17_y,17_z,17_v,18_x,18_y,18_z,18_v,19_x,19_y,19_z,19_v,20_x,20_y,20_z,20_v,21_x,21_y,21_z,21_v,22_x,22_y,22_z,22_v,23_x,23_y,23_z,23_v,24_x,24_y,24_z,24_v,25_x,25_y,25_z,25_v,26_x,26_y,26_z,26_v,27_x,27_y,27_z,27_v,28_x,28_y,28_z,28_v,29_x,29_y,29_z,29_v,30_x,30_y,30_z,30_v,31_x,31_y,31_z,31_v,32_x,32_y,32_z,32_v
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.033,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.133,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.233,0.6964929103851318,0.6361239552497864,-2.1444082260131836,0.9922038316726685,0.633670449256897,0.6768586039543152,-2.1915571689605713,0.9949482679367065,0.6063804626464844,0.6770129799842834,-2.1920783519744873,0.9945547580718994,0.5791199207305908,0.6769620180130005,-2.1932597160339355,0.9953464865684509,0.7057246565818787,0.683542788028717,-2.256000518798828,0.9939087629318237,0.7355427742004395,0.6900653839111328,-2.256378650665283,0.9914752244949341,0.765417218208313,0.6963955163955688,-2.2567594051361084,0.9906570911407471,0.5815020203590393,0.7031066417694092,-1.8747528791427612,0.9969927072525024,0.8435248136520386,0.7289398908615112,-2.1635165214538574,0.990041971206665,0.69748854637146,0.6262635588645935,-1.9641058444976807,0.9970421195030212,0.7902474403381348,0.6383302807807922,-2.050821304321289,0.9965900182723999,0.6136838793754578,0.6625345349311829,-1.312654733657837,0.9967541098594666,1.2199302911758423,0.6665380001068115,-1.6072185039520264,0.9809345602989197,0.2691836953163147,0.45882537961006165,-0.8656373023986816,0.8646319508552551,1.12907075881958,0.47977420687675476,-1.3303790092468262,0.690277636051178,0.2608845829963684,0.6673926115036011,-0.7718148827552795,0.8801698088645935,0.8551823496818542,0.8183979392051697,-1.0337438583374023,0.6868155598640442,0.25544828176498413,0.7667831778526306,-0.8161484599113464,0.7465940117835999,0.7608153820037842,0.9095597863197327,-1.0986931324005127,0.5651544332504272,0.26867157220840454,0.7796632051467896,-0.7647726535797119,0.751352846622467,0.8115588426589966,0.9484781622886658,-1.0150103569030762,0.55889493227005,0.30041682720184326,0.7520062327384949,-0.7401449084281921,0.727048933506012,0.8125395774841309,0.915838897228241,-0.9969332218170166,0.5209909081459045,0.9677632451057434,0.17801417410373688,0.24141894280910492,0.966509997844696,1.3267896175384521,0.15014097094535828,-0.24035435914993286,0.9679771661758423,0.6648303270339966,-0.10010753571987152,1.4158588647842407,0.26283004879951477,1.1224976778030396,-0.1754312366247177,0.8419167995452881,0.45275047421455383,0.8110661506652832,-0.3985443115234375,3.0401673316955566,0.11080051958560944,1.1033023595809937,-0.4772166609764099,2.1352765560150146,0.3256840705871582,0.8814852237701416,-0.4232298731803894,3.201484441757202,0.10553355515003204,1.1619542837142944,-0.504718542098999,2.2578234672546387,0.2667929232120514,0.7049485445022583,-0.5734527707099915,2.9109067916870117,0.1835024058818817,0.9554168581962585,-0.6281505823135376,1.7750815153121948,0.2836509644985199
0.266,0.6279321312904358,0.558964192867279,-1.4383248090744019,0.9926508069038391,0.5801820755004883,0.5946661829948425,-1.431233286857605,0.9952525496482849,0.5563204884529114,0.5934076309204102,-1.4317340850830078,0.994917094707489,0.5324604511260986,0.5918409824371338,-1.432832956314087,0.9956211447715759,0.6422266364097595,0.6017817854881287,-1.4449604749679565,0.9942309856414795,0.6679253578186035,0.6069130301475525,-1.4450141191482544,0.9919469952583313,0.6934557557106018,0.6119994521141052,-1.4459989070892334,0.9911200404167175,0.5235053896903992,0.5953512787818909,-1.0430021286010742,0.9971701502799988,0.7448504567146301,0.6220613718032837,-1.1063151359558105,0.9907882809638977,0.6106173396110535,0.5382691025733948,-1.2524112462997437,0.9971601963043213,0.6943822503089905,0.54963618516922,-1.2722632884979248,0.9967365264892578,0.4557320475578308,0.48471754789352417,-0.8025215268135071,0.9966321587562561,1.002725601196289,0.5602542161941528,-0.6798537969589233,0.9803386926651001,0.2491414099931717,0.3754660189151764,-1.0908395051956177,0.8718652129173279,1.1112875938415527,0.46868792176246643,-0.7325202226638794,0.6845999360084534,0.27256810665130615,0.6934191584587097,-1.4417966604232788,0.8867575526237488,0.9128711819648743,0.7629377245903015,-0.6331809163093567,0.6766232848167419,0.25781187415122986,0.7975016236305237,-1.5560781955718994,0.7606790661811829,0.8501690626144409,0.830557107925415,-0.6632543802261353,0.5554031133651733,0.25028419494628906,0.8093976974487305,-1.4352004528045654,0.7653038501739502,0.8881574869155884,0.8650216460227966,-0.5863857865333557,0.5506892800331116,0.2918204963207245,0.7832160592079163,-1.4078534841537476,0.7420728206634521,0.8888875246047974,0.8375734686851501,-0.6126628518104553,0.5152180790901184,0.7987836599349976,0.024348167702555656,0.014041892252862453,0.9658896923065186,1.137479543685913,0.06019534915685654,-0.011999024078249931,0.966148316860199,0.6856734752655029,-0.18565930426120758,0.6527552008628845,0.2895297110080719,1.1206961870193481,-0.19850657880306244,0.8091744184494019,0.44748926162719727,0.8816314339637756,-0.47516196966171265,1.860741138458252,0.12852469086647034,1.1608188152313232,-0.49462956190109253,1.7429038286209106,0.3281039297580719,0.9171594977378845,-0.5037086009979248,1.9829696416854858,0.13235777616500854,1.1762135028839111,-0.5267126560211182,1.8339648246765137,0.2761594355106354,0.9590378403663635,-0.6266524791717529,1.665343165397644,0.19040431082248688,1.246774673461914,-0.6342180967330933,1.4134608507156372,0.28058668971061707
0.3,0.5657230615615845,0.4821585416793823,-1.3909530639648438,0.9932222366333008,0.5160990953445435,0.5219361782073975,-1.36930251121521,0.9956064224243164,0.48891693353652954,0.5224841833114624,-1.3696719408035278,0.9952911138534546,0.46189624071121216,0.5227710604667664,-1.3706358671188354,0.9959404468536377,0.5876408219337463,0.524570643901825,-1.3623963594436646,0.9946805238723755,0.6138834357261658,0.5275915861129761,-1.3627243041992188,0.9925902485847473,0.6398836970329285,0.5305631160736084,-1.3636927604675293,0.9918482899665833,0.423128604888916,0.526833176612854,-0.9326117634773254,0.9973850250244141,0.6747226715087891,0.5387631058692932,-0.8784312009811401,0.9915741682052612,0.5259573459625244,0.46329882740974426,-1.192237138748169,0.997353196144104,0.6189960241317749,0.467134565114975,-1.1790190935134888,0.9969687461853027,0.3013632595539093,0.4270454943180084,-0.6986503005027771,0.9965265989303589,0.8778654932975769,0.4699714481830597,-0.6363527774810791,0.9818556308746338,0.1820714920759201,0.355974018573761,-1.0765092372894287,0.8750981688499451,0.9555402994155884,0.37722498178482056,-1.0198057889938354,0.6914240121841431,0.2725338041782379,0.691573441028595,-1.2257342338562012,0.893451452255249,0.811912477016449,0.646382212638855,-1.72978937625885,0.6925417184829712,0.2573010325431824,0.794636607170105,-1.3417989015579224,0.7745174169540405,0.7798198461532593,0.7179868817329407,-1.9264189004898071,0.5743910670280457,0.25231650471687317,0.8067952990531921,-1.249932885169983,0.7786582112312317,0.798857569694519,0.7453346848487854,-1.8360174894332886,0.5707343220710754,0.2914487421512604,0.7772753834724426,-1.1986770629882812,0.7570395469665527,0.7857006192207336,0.7134862542152405,-1.728852391242981,0.5370707511901855,0.617767333984375,-0.05548138543963432,0.058479681611061096,0.9553295373916626,0.9619314670562744,-0.025255991145968437,-0.056625042110681534,0.9610576033592224,0.6540114283561707,-0.38423049449920654,0.9487112760543823,0.2788514494895935,0.9942164421081543,-0.3749878704547882,0.7466700673103333,0.4237367510795593,0.74979168176651,-0.6894270181655884,2.2417898178100586,0.12198284268379211,1.078980565071106,-0.7237372994422913,1.7025734186172485,0.3065553903579712,0.7720230221748352,-0.7261835336685181,2.3691208362579346,0.12903395295143127,1.102928876876831,-0.7634653449058533,1.7900317907333374,0.26206228137016296,0.7922045588493347,-0.8142712116241455,1.9409387111663818,0.18255971372127533,1.142845630645752,-0.854476273059845,1.1911234855651855,0.2629055380821228
