t,0_x,0_y,0_z,0_v,1_x,1_y,1_z,1_v,2_x,2_y,2_z,2_v,3_x,3_y,3_z,3_v,4_x,4_y,4_z,4_v,5_x,5_y,5_z,5_v,6_x,6_y,6_z,6_v,7_x,7_y,7_z,7_v,8_x,8_y,8_z,8_v,9_x,9_y,9_z,9_v,10_x,10_y,10_z,10_v,11_x,11_y,11_z,11_v,12_x,12_y,12_z,12_v,13_x,13_y,13_z,13_v,14_x,14_y,14_z,14_v,15_x,15_y,15_z,15_v,16_x,16_y,16_z,16_v,17_x,17_y,17_z,17_v,18_x,18_y,18_z,18_v,19_x,19_y,19_z,19_v,20_x,20_y,20_z,20_v,21_x,21_y,21_z,21_v,22_x,22_y,22_z,22_v,23_x,23_y,23_z,23_v,24_x,24_y,24_z,24_v,25_x,25_y,25_z,25_v,26_x,26_y,26_z,26_v,27_x,27_y,27_z,27_v,28_x,28_y,28_z,28_v,29_x,29_y,29_z,29_v,30_x,30_y,30_z,30_v,31_x,31_y,31_z,31_v,32_x,32_y,32_z,32_v
0.0,0.6778196096420288,0.2113422006368637,-0.4125078320503235,0.9975340366363525,0.67933189868927,0.1600465178489685,-0.43545258045196533,0.9974799752235413,0.6992608904838562,0.1503952592611313,-0.43544286489486694,0.9974428415298462,0.719282329082489,0.14165353775024414,-0.4359585642814636,0.9979469180107117,0.644051194190979,0.178585946559906,-0.34815067052841187,0.9984982013702393,0.6349624991416931,0.18342794477939606,-0.3484688401222229,0.9984715580940247,0.6276876926422119,0.18722854554653168,-0.3490900993347168,0.9983378648757935,0.8101077079772949,0.1335774064064026,-0.3239479660987854,0.9979960918426514,0.6786491274833679,0.1832321286201477,0.06872162222862244,0.9983308911323547,0.7664754986763,0.22315679490566254,-0.35666072368621826,0.9986832737922668,0.7095106244087219,0.2414013296365738,-0.24498112499713898,0.9984251260757446,1.1620709896087646,0.2494160532951355,-0.5352670550346375,0.9938247203826904,0.7606763243675232,0.3444083631038666,0.4994940161705017,0.9949786067008972,1.4072353839874268,0.5243507623672485,-0.6848679780960083,0.6748794913291931,0.780655026435852,0.5229347944259644,0.08953294903039932,0.07634489983320236,1.131830096244812,0.575464129447937,-0.4303935766220093,0.2559373378753662,0.6344414949417114,0.49401527643203735,-1.020385980606079,0.08140499144792557,1.0766842365264893,0.6049798727035522,-0.4163506329059601,0.2284860610961914,0.7020683884620667,0.5277191996574402,-1.147302269935608,0.12088476866483688,1.0462818145751953,0.5670938491821289,-0.42078325152397156,0.2339528501033783,0.6238327622413635,0.48305144906044006,-1.1298789978027344,0.11596442013978958,1.0604687929153442,0.5561140775680542,-0.4105061888694763,0.2601643204689026,0.6332180500030518,0.48054254055023193,-1.0497138500213623,0.1183587983250618,1.4445592164993286,0.6942525506019592,-0.4197594225406647,0.9359022378921509,1.1892677545547485,0.6875478029251099,0.4202616810798645,0.9523512721061707,0.7245225310325623,0.7581060528755188,-0.6278161406517029,0.7456244230270386,0.4304382801055908,0.6252931952476501,0.4805474281311035,0.25722619891166687,0.2611428499221802,0.9856112003326416,-0.304671049118042,0.2891388237476349,0.24138975143432617,0.9325268864631653,0.14074601233005524,0.09649545699357986,0.29326748847961426,1.0197339057922363,-0.2574059069156647,0.27350160479545593,0.2940695285797119,0.9893466234207153,0.10366925597190857,0.13968917727470398,-0.14169371128082275,1.042718768119812,-0.2728373110294342,0.2404940128326416,-0.01773202419281006,1.0015389919281006,0.027508296072483063,0.10255376249551773
0.033,0.6788741946220398,0.2126908302307129,-0.6209096312522888,0.9975930452346802,0.6794617176055908,0.16134653985500336,-0.665337085723877,0.9975643754005432,0.69947749376297,0.15150874853134155,-0.6653569936752319,0.9975337386131287,0.7206323146820068,0.14203423261642456,-0.6657830476760864,0.998009443283081,0.6439408659934998,0.18132424354553223,-0.5630756616592407,0.9985208511352539,0.6348329782485962,0.18670763075351715,-0.563232958316803,0.9984831213951111,0.6273432970046997,0.19144541025161743,-0.5637713670730591,0.9983397722244263,0.8134876489639282,0.13340139389038086,-0.6029539704322815,0.998080313205719,0.6786168813705444,0.183478444814682,-0.13441158831119537,0.9982944130897522,0.7671283483505249,0.22356566786766052,-0.578328013420105,0.9987333416938782,0.7133554816246033,0.24198698997497559,-0.4440450668334961,0.9984581470489502,1.1614885330200195,0.27228793501853943,-0.7669110298156738,0.9940799474716187,0.7672201991081238,0.34007710218429565,0.3440534174442291,0.9952535033226013,1.2228657007217407,0.5890887379646301,-0.775303840637207,0.6791821122169495,0.7679182887077332,0.5217740535736084,0.12374377995729446,0.07609166949987411,0.8066858053207397,0.574707567691803,-0.3662790060043335,0.26651257276535034,0.5692334175109863,0.4862566590309143,-0.7503423690795898,0.08392836898565292,0.6975005269050598,0.5946511030197144,-0.350523442029953,0.23929545283317566,0.564257800579071,0.5178098082542419,-0.8499690890312195,0.1257307231426239,0.6908749341964722,0.5421063899993896,-0.3346657156944275,0.24562153220176697,0.545293927192688,0.4780537784099579,-0.8764569759368896,0.12133746594190598,0.7300693988800049,0.5373300909996033,-0.33339062333106995,0.2711260914802551,0.5756379961967468,0.473373144865036,-0.7937738299369812,0.12375055253505707,1.3890043497085571,0.7262200713157654,-0.4090840518474579,0.937843918800354,1.154140830039978,0.6996065974235535,0.4098784327507019,0.9537360668182373,0.6907225847244263,0.7183424830436707,-0.6409496665000916,0.7430649995803833,0.45175477862358093,0.6155080795288086,0.48093053698539734,0.26105785369873047,0.237993061542511,0.9104529023170471,-0.4964527189731598,0.3095054626464844,0.20430223643779755,0.878911554813385,0.1408689022064209,0.10547193139791489,0.25740161538124084,0.9563584923744202,-0.47222527861595154,0.3003317713737488,0.2626040279865265,0.9138895869255066,0.10446299612522125,0.15397396683692932,-0.14425575733184814,0.9150386452674866,-0.5409224629402161,0.26237812638282776,-0.07420419156551361,0.9078841805458069,0.07639134675264359,0.11149342358112335
0.066,0.6796008944511414,0.21245652437210083,-0.8611442446708679,0.9976723790168762,0.6809828877449036,0.160844624042511,-0.9054184556007385,0.9976417422294617,0.7010541558265686,0.15060308575630188,-0.9053513407707214,0.9975966215133667,0.7235831022262573,0.14018209278583527,-0.9055172204971313,0.9980590343475342,0.6436076760292053,0.18195459246635437,-0.8025230765342712,0.9985503554344177,0.6333943009376526,0.18834201991558075,-0.8026412129402161,0.9984930157661438,0.6241297125816345,0.19436372816562653,-0.8032659888267517,0.9983581900596619,0.8172335028648376,0.12890833616256714,-0.8418608903884888,0.9981228709220886,0.6758416891098022,0.18343660235404968,-0.3706190586090088,0.9982290863990784,0.7678295969963074,0.2235056310892105,-0.817676305770874,0.998787522315979,0.7174462080001831,0.24275831878185272,-0.6815031170845032,0.9985033273696899,1.1772911548614502,0.2872176170349121,-0.9345458149909973,0.994205117225647,0.778645932674408,0.33355867862701416,0.13256403803825378,0.9955706000328064,1.260538101196289,0.6373480558395386,-0.9462102055549622,0.6856725811958313,0.7683229446411133,0.5348276495933533,-0.0015195682644844055,0.0837634950876236,0.8624313473701477,0.6009882688522339,-0.6902612447738647,0.2939881682395935,0.5516587495803833,0.48114013671875,-0.8264923691749573,0.11624711751937866,0.762450635433197,0.6111155152320862,-0.6941167712211609,0.2639043629169464,0.49646297097206116,0.4936518371105194,-0.9326679110527039,0.16221952438354492,0.7547525763511658,0.550395667552948,-0.7003939747810364,0.2704983055591583,0.5080934166908264,0.4611339867115021,-1.0195902585983276,0.15725815296173096,0.7882688045501709,0.5477169156074524,-0.6687297821044922,0.29559221863746643,0.5305171012878418,0.45970258116722107,-0.8923675417900085,0.15859149396419525,1.3248575925827026,0.7547155618667603,-0.39548102021217346,0.9419465661048889,1.0955523252487183,0.7052778601646423,0.39633283019065857,0.9570119976997375,0.6590986251831055,0.7238176465034485,-0.6115320920944214,0.7531294226646423,0.45454707741737366,0.5960167646408081,0.5995820164680481,0.27982789278030396,0.23375637829303741,0.8735378980636597,-0.3000001609325409,0.3339483141899109,0.2049192637205124,0.8458845615386963,0.33743539452552795,0.1250845491886139,0.25220993161201477,0.9113262295722961,-0.2551620900630951,0.3310298025608063,0.25213712453842163,0.9022795557975769,0.31139689683914185,0.18044063448905945,-0.14365997910499573,0.8684923052787781,-0.23695781826972961,0.2869260907173157,-0.08053658902645111,0.8741325736045837,0.33857735991477966,0.1317766159772873
0.1,0.682287335395813,0.2118430733680725,-0.7510940432548523,0.9977858066558838,0.6856130361557007,0.16018785536289215,-0.7721375226974487,0.9977231621742249,0.7077821493148804,0.14993241429328918,-0.7721132636070251,0.9976743459701538,0.7321580648422241,0.13955388963222504,-0.7724723815917969,0.9980985522270203,0.6436091065406799,0.18195359408855438,-0.6777401566505432,0.9986087679862976,0.6331893801689148,0.18838419020175934,-0.6777724623680115,0.9985495209693909,0.6231146454811096,0.19455523788928986,-0.6783925890922546,0.9984317421913147,0.8288972973823547,0.12756481766700745,-0.6515402793884277,0.9981456995010376,0.6751838326454163,0.18347790837287903,-0.21502886712551117,0.9982669353485107,0.7702291011810303,0.22349967062473297,-0.6861948370933533,0.9988310933113098,0.721513569355011,0.24349191784858704,-0.560759425163269,0.9985577464103699,1.1768666505813599,0.2947320342063904,-0.8005585074424744,0.9936785697937012,0.7855451107025146,0.3328174650669098,0.24841919541358948,0.9957715272903442,1.2336534261703491,0.6333573460578918,-0.9215463995933533,0.6796674728393555,0.7625906467437744,0.5377628207206726,0.21913278102874756,0.08587970584630966,0.8087054491043091,0.6064327955245972,-0.5418562293052673,0.2908172309398651,0.5402712225914001,0.4805814325809479,-0.537237286567688,0.1298130303621292,0.6996000409126282,0.6166638731956482,-0.5078334212303162,0.26181671023368835,0.47682592272758484,0.48443830013275146,-0.6272828578948975,0.17882411181926727,0.6936507225036621,0.5578762292861938,-0.4777695834636688,0.26863572001457214,0.48450836539268494,0.45460638403892517,-0.657364010810852,0.17425885796546936,0.7359417676925659,0.5558694005012512,-0.5020310878753662,0.2938436269760132,0.5175718665122986,0.45495036244392395,-0.5788552761077881,0.17535465955734253,1.2536479234695435,0.7777433395385742,-0.3926238715648651,0.9405139088630676,1.0424433946609497,0.7323111295700073,0.3932931423187256,0.9563183784484863,0.5484786629676819,0.6686912775039673,-0.5660430192947388,0.7609865665435791,0.44436323642730713,0.5973538160324097,0.6713326573371887,0.29059603810310364,0.2187420278787613,0.8839319944381714,-0.05892406404018402,0.34852153062820435,0.21059909462928772,0.8569769263267517,0.4515051543712616,0.14156565070152283,0.250272274017334,0.924219012260437,0.013726525940001011,0.3473905324935913,0.2532113790512085,0.9151626825332642,0.4349376857280731,0.19975940883159637,-0.14577092230319977,0.918076753616333,0.17914821207523346,0.2980347275733948,-0.07774364203214645,0.9005686044692993,0.5144982933998108,0.14891569316387177
0.133,0.6874621510505676,0.20915789902210236,-0.7937889695167542,0.9979033470153809,0.6954507827758789,0.1588539183139801,-0.8370510339736938,0.9978278875350952,0.718798041343689,0.14844393730163574,-0.8371007442474365,0.9977766275405884,0.744735062122345,0.13785500824451447,-0.8375247716903687,0.9981805682182312,0.6480993628501892,0.18065421283245087,-0.734891414642334,0.9986594319343567,0.6361714005470276,0.186585932970047,-0.7349628806114197,0.9985915422439575,0.6247385144233704,0.19238857924938202,-0.7356400489807129,0.9984917640686035,0.8431239128112793,0.12422741949558258,-0.7761087417602539,0.998239278793335,0.6835485696792603,0.17635861039161682,-0.29746106266975403,0.9983245134353638,0.7762596011161804,0.22164694964885712,-0.749017596244812,0.998920202255249,0.7257060408592224,0.2419433295726776,-0.6118326187133789,0.9986523389816284,1.186169147491455,0.3018050491809845,-0.8764762282371521,0.9939518570899963,0.7865158319473267,0.3131657838821411,0.17898441851139069,0.9960793256759644,1.208283543586731,0.6617885828018188,-0.8750055432319641,0.6928166151046753,0.7667680978775024,0.537188708782196,0.1970544457435608,0.09768211841583252,0.7577484250068665,0.6039661169052124,-0.545936644077301,0.3187958300113678,0.5480479001998901,0.4776470959186554,-0.5419089794158936,0.1635252982378006,0.6349514722824097,0.6085140109062195,-0.5395616292953491,0.28655239939689636,0.47458845376968384,0.4750789999961853,-0.6332083344459534,0.21488986909389496,0.6403141617774963,0.5447191596031189,-0.5187129378318787,0.29392683506011963,0.48028361797332764,0.4499356150627136,-0.6890828609466553,0.2109953761100769,0.6831216812133789,0.5440114140510559,-0.5122365951538086,0.31814688444137573,0.5167542099952698,0.4516761004924774,-0.5922552943229675,0.21122579276561737,1.1933175325393677,0.7794579267501831,-0.380402147769928,0.9402523040771484,0.94549959897995,0.731980562210083,0.38145071268081665,0.9567720293998718,0.5284115076065063,0.6818987727165222,-0.6247726678848267,0.7685312032699585,0.4155147075653076,0.5901963710784912,0.6387046575546265,0.315950870513916,0.17668624222278595,0.8696858882904053,-0.06202368438243866,0.3528048098087311,0.20213857293128967,0.8510385155677795,0.44777265191078186,0.1599922478199005,0.20250509679317474,0.9073432683944702,0.014837633818387985,0.3573274314403534,0.23865915834903717,0.9113498330116272,0.44241437315940857,0.22137980163097382,-0.17411530017852783,0.8827744126319885,0.09770898520946503,0.30416521430015564,-0.08188660442829132,0.8973092436790466,0.48737436532974243,0.168523371219635
0.166,0.6897249221801758,0.2080979347229004,-0.8673726320266724,0.9980735778808594,0.6969959139823914,0.15629002451896667,-0.9143164157867432,0.9979979395866394,0.7210164666175842,0.14579269289970398,-0.914187490940094,0.9979419112205505,0.7468692660331726,0.1351967453956604,-0.9145438075065613,0.998314380645752,0.6476592421531677,0.18024791777133942,-0.8198968172073364,0.9987613558769226,0.6347616314888,0.1864476501941681,-0.8199790120124817,0.9986929893493652,0.6222893595695496,0.19236527383327484,-0.820509672164917,0.998605489730835,0.8419927358627319,0.12114623934030533,-0.8377052545547485,0.9983742833137512,0.6806636452674866,0.17678013443946838,-0.3924271762371063,0.998450517654419,0.7789492607116699,0.22019530832767487,-0.8153495788574219,0.9990185499191284,0.7262241840362549,0.2417399138212204,-0.6862421035766602,0.9987724423408508,1.1853638887405396,0.31633180379867554,-0.9149792194366455,0.9944607019424438,0.7877835631370544,0.3066452443599701,0.11008400470018387,0.9964461326599121,1.179503321647644,0.6605278849601746,-0.8453090190887451,0.7122423648834229,0.7507044672966003,0.5194924473762512,0.1804894208908081,0.11863142997026443,0.7488795518875122,0.6081353425979614,-0.5359785556793213,0.3383030593395233,0.5489017367362976,0.4715648293495178,-0.5162226557731628,0.20118163526058197,0.6308476328849792,0.630801260471344,-0.5408746600151062,0.30005091428756714,0.48071086406707764,0.46895599365234375,-0.6082789897918701,0.2522454261779785,0.6275280117988586,0.5723243355751038,-0.536938488483429,0.3072656989097595,0.48442038893699646,0.446321964263916,-0.6717187166213989,0.2491648644208908,0.6678913235664368,0.567814826965332,-0.510127067565918,0.332815021276474,0.5189102292060852,0.4486418068408966,-0.566503643989563,0.24915003776550293,1.1711187362670898,0.7885118126869202,-0.3789856433868408,0.9456194639205933,0.927459716796875,0.7259683012962341,0.38012856245040894,0.9607604742050171,0.4512549936771393,0.6938908696174622,-0.889985203742981,0.7837062478065491,0.4022934138774872,0.5451500415802002,0.6046653389930725,0.34401097893714905,0.3316979706287384,0.8506977558135986,0.16023895144462585,0.3520033061504364,0.16932609677314758,0.8175259232521057,0.48176807165145874,0.18844996392726898,0.4085409641265869,0.8790709972381592,0.29958435893058777,0.36363938450813293,0.21411994099617004,0.9085012674331665,0.48309892416000366,0.25035688281059265,0.03682132065296173,0.8937515020370483,0.6227787137031555,0.30537933111190796,-0.16837549209594727,0.8956047892570496,0.5914797782897949,0.19531865417957306
0.2,0.69368976354599,0.20522762835025787,-0.8362025618553162,0.9981914162635803,0.703323245048523,0.15481241047382355,-0.8847092986106873,0.9981088042259216,0.7274608016014099,0.14482466876506805,-0.884623110294342,0.9980449676513672,0.7534358501434326,0.13444097340106964,-0.8849847912788391,0.9983963966369629,0.6515679955482483,0.17692594230175018,-0.7856851816177368,0.9988275766372681,0.637433648109436,0.1830514818429947,-0.785844087600708,0.9987556338310242,0.6243119239807129,0.18871307373046875,-0.7863830327987671,0.9986786246299744,0.847540557384491,0.12100441008806229,-0.8220136761665344,0.9984543919563293,0.6866036653518677,0.17242485284805298,-0.3576790392398834,0.9985157251358032,0.7802516222000122,0.21956339478492737,-0.7911451458930969,0.9990915060043335,0.7292307019233704,0.2409610003232956,-0.6572030186653137,0.9988589882850647,1.1851630210876465,0.3222906291484833,-0.9380626678466797,0.9947448968887329,0.7876707911491394,0.30179563164711,0.14607563614845276,0.9967407584190369,1.136931300163269,0.659187376499176,-0.834000289440155,0.7263251543045044,0.7423006296157837,0.519294798374176,0.18868781626224518,0.1306588351726532,0.6841657757759094,0.6114388108253479,-0.44304507970809937,0.3556598722934723,0.5398445129394531,0.46065568923950195,-0.5061153769493103,0.2298784703016281,0.5607419013977051,0.630375862121582,-0.44422322511672974,0.3128490149974823,0.4772127568721771,0.45323848724365234,-0.5985188484191895,0.2812109589576721,0.56341153383255,0.573925793170929,-0.45405077934265137,0.3196977376937866,0.47491076588630676,0.43444469571113586,-0.6583510637283325,0.2787916660308838,0.6087151169776917,0.5683163404464722,-0.4210790991783142,0.34603747725486755,0.5073232054710388,0.43642136454582214,-0.5556046962738037,0.2788895070552826,1.1606979370117188,0.7894855737686157,-0.3798535466194153,0.9502691626548767,0.9283164739608765,0.7208693623542786,0.380973756313324,0.9642766118049622,0.45852789282798767,0.6799691915512085,-0.8433809280395508,0.7969639301300049,0.396046906709671,0.5045168399810791,0.6016204953193665,0.3695496618747711,0.33128875494003296,0.839522123336792,0.12829166650772095,0.35766881704330444,0.17510341107845306,0.7989999055862427,0.4768660366535187,0.21766705811023712,0.4019874036312103,0.8716543912887573,0.25101447105407715,0.37445661425590515,0.22125253081321716,0.8668604493141174,0.4756472110748291,0.2800355851650238,0.017594898119568825,0.884475827217102,0.5140089988708496,0.3126164972782135,-0.1421305537223816,0.8865975141525269,0.5657274127006531,0.22364114224910736
0.233,0.6937701106071472,0.20546743273735046,-0.9108545184135437,0.9983189702033997,0.7041270732879639,0.154804527759552,-0.9807352423667908,0.9982444643974304,0.7299582958221436,0.14472416043281555,-0.9805284142494202,0.9981739521026611,0.7570425868034363,0.13426505029201508,-0.980906069278717,0.9985034465789795,0.6505277752876282,0.17690661549568176,-0.8713071942329407,0.9989040493965149,0.6354885101318359,0.182939812541008,-0.8714717626571655,0.9988279938697815,0.621476411819458,0.1883886605501175,-0.8719079494476318,0.9987645149230957,0.8509951233863831,0.12110675871372223,-0.9812957644462585,0.9985671043395996,0.6864767074584961,0.17111460864543915,-0.47204825282096863,0.998611569404602,0.7817478179931641,0.21989993751049042,-0.8848690986633301,0.999169647693634,0.7296485900878906,0.24130532145500183,-0.7381404638290405,0.9989517331123352,1.1891874074935913,0.33433762192726135,-1.041413426399231,0.9950791597366333,0.7919443845748901,0.2897297143936157,0.03306775540113449,0.9970178008079529,1.1738474369049072,0.6634348630905151,-0.8270459771156311,0.7437781095504761,0.7438716292381287,0.4876232147216797,0.19098515808582306,0.13993427157402039,0.7326155304908752,0.6099493503570557,-0.34306010603904724,0.3718779385089874,0.5349966287612915,0.45567435026168823,-0.3995944857597351,0.24576042592525482,0.6263815760612488,0.629961371421814,-0.3273138403892517,0.32236698269844055,0.46937334537506104,0.4529045820236206,-0.479146271944046,0.2982269525527954,0.6256656050682068,0.5712563395500183,-0.3429332673549652,0.32948336005210876,0.4759479761123657,0.43484121561050415,-0.5519157648086548,0.29707127809524536,0.6677601337432861,0.5655625462532043,-0.3203710615634918,0.3571453094482422,0.5101122260093689,0.4356657564640045,-0.4524192810058594,0.2974335551261902,1.109277606010437,0.7826586365699768,-0.3803134262561798,0.9542363286018372,0.9183824062347412,0.7025721073150635,0.38147586584091187,0.9674144387245178,0.4575583338737488,0.6698304414749146,-0.7942491769790649,0.8080620169639587,0.37947410345077515,0.4905097186565399,0.5206539630889893,0.3959442675113678,0.3314746022224426,0.8270493149757385,0.3167937397956848,0.3582514822483063,0.17799536883831024,0.8067729473114014,0.4751163721084595,0.24112774431705475,0.3993651568889618,0.8637297749519348,0.45334869623184204,0.3819974958896637,0.22946341335773468,0.8762714266777039,0.47989338636398315,0.3015817105770111,0.017429649829864502,0.8616371750831604,0.7316863536834717,0.31633976101875305,-0.12972243130207062,0.8801583647727966,0.5766282081604004,0.24658821523189545
0.266,0.6942285895347595,0.20181827247142792,-0.957595944404602,0.998445451259613,0.7048883438110352,0.1514776349067688,-0.9843539595603943,0.9983677268028259,0.7306720614433289,0.14197731018066406,-0.984306275844574,0.998296320438385,0.7576233744621277,0.1316615641117096,-0.9847410917282104,0.9985951781272888,0.6504903435707092,0.17308075726032257,-0.8847367167472839,0.9989721179008484,0.6350688934326172,0.17899422347545624,-0.8846731781959534,0.9988933801651001,0.620807945728302,0.18490788340568542,-0.8851379752159119,0.9988387227058411,0.8501642346382141,0.11886469274759293,-0.8584420680999756,0.9986668229103088,0.6839637160301208,0.17091618478298187,-0.388017863035202,0.9986974000930786,0.7817261815071106,0.2178611159324646,-0.8842534422874451,0.999236524105072,0.729314923286438,0.23938749730587006,-0.7503572106361389,0.9990276098251343,1.1725093126296997,0.3273995518684387,-0.9687788486480713,0.9952273964881897,0.7993054389953613,0.2932010889053345,0.07009617984294891,0.997219443321228,1.1352503299713135,0.662260115146637,-0.7345173954963684,0.7530317306518555,0.7720944881439209,0.5109012126922607,0.2914796769618988,0.14150521159172058,0.7429194450378418,0.6072496771812439,-0.34656503796577454,0.3903766870498657,0.5386013388633728,0.4565657079219818,-0.38177046179771423,0.2688792943954468,0.639621376991272,0.6119789481163025,-0.3424483835697174,0.3371824026107788,0.47051164507865906,0.4580463171005249,-0.46040505170822144,0.32274702191352844,0.5790804624557495,0.5075922608375549,-0.34584957361221313,0.3446255326271057,0.4664789140224457,0.43598005175590515,-0.5514573454856873,0.3231027126312256,0.6821001172065735,0.5550222396850586,-0.32377153635025024,0.37300264835357666,0.5032510161399841,0.437355101108551,-0.4450499713420868,0.3243313431739807,1.1152714490890503,0.7868520617485046,-0.3807131350040436,0.9566662907600403,0.9034993052482605,0.7042880654335022,0.3818734586238861,0.9694439172744751,0.41820597648620605,0.6687175035476685,-0.7715907096862793,0.8182566165924072,0.36767643690109253,0.5601167678833008,0.6326722502708435,0.41462868452072144,0.3308373689651489,0.8310695886611938,0.32155102491378784,0.3522762656211853,0.19570253789424896,0.8174745440483093,0.619215190410614,0.2549222707748413,0.3830009698867798,0.8652864694595337,0.4541480243206024,0.3809380829334259,0.24634230136871338,0.8799781203269958,0.6282786130905151,0.3157750368118286,-0.005412716884166002,0.8724147081375122,0.7541731595993042,0.3112034797668457,-0.07318641245365143,0.8786336183547974,0.7480817437171936,0.2632577121257782
0.3,0.697868287563324,0.1974417120218277,-0.8917285799980164,0.9984975457191467,0.7104088664054871,0.14887340366840363,-0.9266842007637024,0.9983810782432556,0.7363870143890381,0.13883796334266663,-0.9265584945678711,0.9983016848564148,0.763499915599823,0.12817083299160004,-0.9270327091217041,0.9985767006874084,0.6535906195640564,0.1714887171983719,-0.8290693759918213,0.9989548325538635,0.637573778629303,0.17735987901687622,-0.8293048739433289,0.9988577365875244,0.6231632828712463,0.18295343220233917,-0.8297680020332336,0.9988193511962891,0.8572955131530762,0.11727430671453476,-0.8195302486419678,0.9986854195594788,0.6865400671958923,0.16970326006412506,-0.37167805433273315,0.9986783266067505,0.7856720685958862,0.2129782736301422,-0.828088104724884,0.9992684125900269,0.7314651012420654,0.23596662282943726,-0.6988227367401123,0.999041736125946,1.160267949104309,0.32490479946136475,-0.9228648543357849,0.9952262043952942,0.8052676916122437,0.2930218577384949,0.12493770569562912,0.9973185062408447,1.0683989524841309,0.6550646424293518,-0.7356942296028137,0.757809042930603,0.7871081829071045,0.5268445611000061,0.2862562835216522,0.13931810855865479,0.6390167474746704,0.5740002989768982,-0.3788812458515167,0.40881863236427307,0.5265944600105286,0.45510223507881165,-0.38816818594932556,0.28527113795280457,0.5747671723365784,0.5953404307365417,-0.3946152329444885,0.3541826903820038,0.44809556007385254,0.44985896348953247,-0.4681015610694885,0.34109580516815186,0.5688834190368652,0.519185483455658,-0.38941502571105957,0.3620068430900574,0.4428878128528595,0.43036752939224243,-0.5574526786804199,0.34233585000038147,0.6201260685920715,0.5408626198768616,-0.35629338026046753,0.3904229700565338,0.4845583438873291,0.4319816529750824,-0.4524765610694885,0.3440035283565521,1.0726730823516846,0.7829641699790955,-0.3789663314819336,0.9565224647521973,0.9092543721199036,0.7041629552841187,0.38012075424194336,0.9696050882339478,0.36952078342437744,0.6698361039161682,-0.7353989481925964,0.8228616714477539,0.37064826488494873,0.5843830108642578,0.7035071849822998,0.4221944212913513,0.2703208923339844,0.8306815028190613,0.2559710443019867,0.3404591679573059,0.19631372392177582,0.8192671537399292,0.6542348861694336,0.2575134038925171,0.3362825810909271,0.8612731099128723,0.3748852014541626,0.3740057051181793,0.24676989018917084,0.8760339617729187,0.6582624316215515,0.32132408022880554,-0.01581791415810585,0.8766082525253296,0.6723737120628357,0.30110540986061096,-0.07153365761041641,0.8717318773269653,0.7853635549545288,0.2681000530719757
