t,0_x,0_y,0_z,0_v,1_x,1_y,1_z,1_v,2_x,2_y,2_z,2_v,3_x,3_y,3_z,3_v,4_x,4_y,4_z,4_v,5_x,5_y,5_z,5_v,6_x,6_y,6_z,6_v,7_x,7_y,7_z,7_v,8_x,8_y,8_z,8_v,9_x,9_y,9_z,9_v,10_x,10_y,10_z,10_v,11_x,11_y,11_z,11_v,12_x,12_y,12_z,12_v,13_x,13_y,13_z,13_v,14_x,14_y,14_z,14_v,15_x,15_y,15_z,15_v,16_x,16_y,16_z,16_v,17_x,17_y,17_z,17_v,18_x,18_y,18_z,18_v,19_x,19_y,19_z,19_v,20_x,20_y,20_z,20_v,21_x,21_y,21_z,21_v,22_x,22_y,22_z,22_v,23_x,23_y,23_z,23_v,24_x,24_y,24_z,24_v,25_x,25_y,25_z,25_v,26_x,26_y,26_z,26_v,27_x,27_y,27_z,27_v,28_x,28_y,28_z,28_v,29_x,29_y,29_z,29_v,30_x,30_y,30_z,30_v,31_x,31_y,31_z,31_v,32_x,32_y,32_z,32_v
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.033,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.133,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.2,0.9239037036895752,0.5475732088088989,-1.1031932830810547,0.9959278702735901,0.9251145124435425,0.5962928533554077,-1.0676871538162231,0.996212363243103,0.9144194722175598,0.6017232537269592,-1.0678975582122803,0.9944735169410706,0.8855138421058655,0.6161929965019226,-1.0682417154312134,0.9956436157226562,1.0055196285247803,0.5532044768333435,-1.0845801830291748,0.9976683259010315,1.0311248302459717,0.5381284356117249,-1.0843532085418701,0.9963551759719849,1.056575059890747,0.5233035683631897,-1.0853214263916016,0.9965845346450806,0.861150324344635,0.6444190144538879,-0.7105016112327576,0.9915681481361389,1.0977845191955566,0.49580344557762146,-0.7889179587364197,0.9979343414306641,0.8505820631980896,0.5437591075897217,-0.9568744897842407,0.9949951171875,0.9232012033462524,0.49454376101493835,-0.9763399362564087,0.9985400438308716,0.6514742970466614,0.6593657732009888,-0.5318814516067505,0.9994499087333679,1.1319584846496582,0.3474871814250946,-0.5967445373535156,0.9997888207435608,0.5063682794570923,0.8068424463272095,-1.0442613363265991,0.7068876028060913,1.0382306575775146,0.19154320657253265,-0.9069716334342957,0.053260255604982376,0.5536738634109497,1.069435954093933,-1.632976770401001,0.6636008024215698,0.9572781920433044,0.14383302628993988,-1.5785835981369019,0.0850977823138237,0.5523194670677185,1.1448277235031128,-1.7507085800170898,0.6392778158187866,0.9250314235687256,0.10354197025299072,-1.6520310640335083,0.13094332814216614,0.5883941650390625,1.1495827436447144,-1.8129866123199463,0.6306924223899841,0.9198549389839172,0.14424310624599457,-1.7965604066848755,0.13496674597263336,0.6027206182479858,1.1064904928207397,-1.6884945631027222,0.6685082316398621,0.901996910572052,0.16580529510974884,-1.6517211198806763,0.17402616143226624,0.4140220880508423,0.2966308295726776,0.03609079495072365,0.9998157620429993,0.7095380425453186,0.13484260439872742,-0.0353383906185627,0.9999427795410156,0.2594444155693054,0.4178897738456726,0.061799317598342896,0.5785536766052246,0.7488614320755005,0.23062554001808167,-0.18629448115825653,0.4391516447067261,0.5785263776779175,0.674578845500946,-0.28129512071609497,0.07197949290275574,0.5386980175971985,0.2480941116809845,-0.7608568668365479,0.3359872102737427,0.6197527647018433,0.6781612038612366,-0.30003470182418823,0.27609679102897644,0.4709678292274475,0.22978073358535767,-0.8044766187667847,0.5727965235710144,0.67278653383255,0.7947736978530884,-0.23210032284259796,0.10927312076091766,0.5385034084320068,0.2938525378704071,-1.0089824199676514,0.4404241740703583
0.233,0.8714703321456909,0.5396226048469543,-2.16129469871521,0.9896690845489502,0.9039357304573059,0.5948611497879028,-2.132096767425537,0.9921775460243225,0.8840929865837097,0.6023675203323364,-2.132481336593628,0.9903370141983032,0.8599700331687927,0.617314875125885,-2.1333703994750977,0.9924764037132263,0.9783207774162292,0.5524564981460571,-2.1953022480010986,0.993787407875061,1.0087651014328003,0.5375080704689026,-2.1958351135253906,0.9911947250366211,1.038851261138916,0.5227643251419067,-2.196331024169922,0.9906378984451294,0.8511450886726379,0.637719988822937,-1.6925190687179565,0.9872539043426514,1.0971089601516724,0.4919549226760864,-1.9982198476791382,0.9913689494132996,0.8156757950782776,0.5367835164070129,-1.9610462188720703,0.9790979623794556,0.8883442282676697,0.47942352294921875,-2.048779249191284,0.9835544228553772,0.6622577905654907,0.6313564777374268,-1.5220054388046265,0.9956378936767578,1.1338603496551514,0.3382590115070343,-1.6025053262710571,0.9761703610420227,0.5804369449615479,0.8080307841300964,-1.733689785003662,0.7146860361099243,1.0895203351974487,0.19671793282032013,-2.0449328422546387,0.05304325371980667,0.5530087947845459,1.0630929470062256,-2.0291450023651123,0.684657633304596,1.0816715955734253,0.18385164439678192,-2.952439546585083,0.08403638750314713,0.5441439151763916,1.1448979377746582,-2.176892042160034,0.6578934192657471,1.1040936708450317,0.17479059100151062,-3.1343114376068115,0.12912315130233765,0.5722879767417908,1.149462103843689,-2.2245280742645264,0.6528897881507874,1.1183149814605713,0.210214301943779,-3.1300806999206543,0.1333899050951004,0.5855070948600769,1.1057848930358887,-2.0801749229431152,0.6863046884536743,1.0841280221939087,0.21906015276908875,-2.9900760650634766,0.1676061451435089,0.44697389006614685,0.2544611394405365,0.026051299646496773,0.9916109442710876,0.708808183670044,0.12410666048526764,-0.025951430201530457,0.9897712469100952,0.35774099826812744,0.19408996403217316,1.2060755491256714,0.528028666973114,0.7225497364997864,0.11717702448368073,1.0907267332077026,0.40068280696868896,0.4621026813983917,0.1588813215494156,2.4818592071533203,0.07065938413143158,0.5523411631584167,0.10314460098743439,2.401256561279297,0.3063632845878601,0.49167072772979736,0.16143697500228882,2.6041955947875977,0.25657716393470764,0.5246993899345398,0.1181676834821701,2.5255064964294434,0.5214375257492065,0.3990243077278137,0.09510273486375809,2.524714469909668,0.1024186760187149,0.4834882915019989,0.03772232308983803,2.3767666816711426,0.39993131160736084
0.266,0.8765146732330322,0.5254600644111633,-1.6620893478393555,0.9891799092292786,0.9065574407577515,0.574677050113678,-1.6275471448898315,0.9922849535942078,0.8853790163993835,0.5880193710327148,-1.627890706062317,0.9904077053070068,0.8601729273796082,0.6027836203575134,-1.6283437013626099,0.9926459789276123,0.97935551404953,0.5365684032440186,-1.6539311408996582,0.9936163425445557,1.0089787244796753,0.5226521492004395,-1.6540369987487793,0.9907722473144531,1.039697289466858,0.5088523626327515,-1.6551775932312012,0.990317165851593,0.8511937260627747,0.6106922626495361,-1.2968711853027344,0.9875815510749817,1.0998706817626953,0.476392537355423,-1.392609715461731,0.9904046058654785,0.8163054585456848,0.5307981371879578,-1.518218755722046,0.9782560467720032,0.8898085951805115,0.4680245816707611,-1.5397522449493408,0.9822389483451843,0.6995406150817871,0.5841920971870422,-1.0313189029693604,0.9954845905303955,1.123866319656372,0.3365670442581177,-1.1470599174499512,0.9752731919288635,0.5764239430427551,0.687883198261261,-0.6292195916175842,0.6903089880943298,1.1171373128890991,0.24334518611431122,-1.0129584074020386,0.05849470943212509,0.5360031127929688,0.8684247136116028,-0.6392097473144531,0.6650518774986267,1.2022525072097778,0.33764728903770447,-1.0448408126831055,0.08114556968212128,0.46003708243370056,0.8857113718986511,-0.6853028535842896,0.6355899572372437,1.2332990169525146,0.3542107939720154,-1.0863398313522339,0.12250161170959473,0.4975809156894684,0.8805485963821411,-0.7505342364311218,0.634283721446991,1.2447950839996338,0.37873634696006775,-1.0965821743011475,0.1266171634197235,0.5213985443115234,0.8485899567604065,-0.6798353791236877,0.6667405366897583,1.2164746522903442,0.37727686762809753,-1.058807611465454,0.15805703401565552,0.4450916349887848,0.1933157593011856,0.0673900842666626,0.9915958046913147,0.7009090781211853,0.08605749160051346,-0.06643138825893402,0.990208625793457,0.36943861842155457,0.2648913562297821,0.9901530146598816,0.514000415802002,0.782867968082428,0.14453230798244476,0.5005597472190857,0.40334874391555786,0.5198696255683899,0.31826311349868774,1.6612411737442017,0.0737258568406105,0.6494702100753784,0.1327323317527771,0.949604868888855,0.29326990246772766,0.5580554604530334,0.3149722218513489,1.7401314973831177,0.24686551094055176,0.6494235396385193,0.14790035784244537,1.0066090822219849,0.4870515763759613,0.4337761402130127,0.3352642357349396,1.7999004125595093,0.10552619397640228,0.48900729417800903,0.19895300269126892,0.8919525146484375,0.37965062260627747
0.3,0.8774704933166504,0.5236334204673767,-0.6679619550704956,0.9901754856109619,0.9067093729972839,0.5656083822250366,-0.6117343306541443,0.99299156665802,0.8857679963111877,0.5749101042747498,-0.6117819547653198,0.9913021326065063,0.865039050579071,0.5835205316543579,-0.6122646331787109,0.9933165311813354,0.9739407896995544,0.5375317931175232,-0.646206796169281,0.9941912293434143,0.9981341361999512,0.524590790271759,-0.64564448595047,0.9916228652000427,1.021850347518921,0.5163672566413879,-0.6456412076950073,0.9911813735961914,0.8574932813644409,0.588226318359375,-0.24568898975849152,0.9887309074401855,1.0650192499160767,0.4937177002429962,-0.4003572463989258,0.9912495017051697,0.8283445239067078,0.5179897546768188,-0.5212492942810059,0.9802126288414001,0.8949877023696899,0.4704817831516266,-0.5657690167427063,0.9838383197784424,0.700192391872406,0.5286508202552795,-0.07554677873849869,0.9958459138870239,1.115441918373108,0.37941181659698486,-0.4166949689388275,0.9776229858398438,0.5726182460784912,0.6670597195625305,-0.15119706094264984,0.6538182497024536,1.1340957880020142,0.5156963467597961,-0.6251010298728943,0.07401474565267563,0.5321406126022339,0.8728929758071899,-0.14038734138011932,0.6169359683990479,1.141706109046936,0.6984255909919739,-0.33984842896461487,0.08257598429918289,0.4465619623661041,0.9147407412528992,-0.09771547466516495,0.596036434173584,1.1459197998046875,0.7404690980911255,-0.29034069180488586,0.1201632097363472,0.4743427336215973,0.9178997874259949,-0.141366645693779,0.5951974987983704,1.1512070894241333,0.737196147441864,-0.2312304675579071,0.12324998527765274,0.48868927359580994,0.8945353627204895,-0.16196158528327942,0.6256323456764221,1.1305116415023804,0.7224719524383545,-0.30727848410606384,0.15211312472820282,0.46363160014152527,0.19754987955093384,0.06432012468576431,0.9923204779624939,0.7052977681159973,0.09184544533491135,-0.06346909701824188,0.9911003112792969,0.42240145802497864,0.4622865617275238,-0.2647120952606201,0.5393365025520325,0.9753405451774597,0.23441490530967712,-0.5103311538696289,0.44168445467948914,0.6069138646125793,0.7536669373512268,-1.0229873657226562,0.11819074302911758,0.8757889866828918,0.3945144712924957,-1.2661020755767822,0.3231208026409149,0.5908478498458862,0.76446533203125,-1.0649107694625854,0.2984890043735504,0.8499492406845093,0.3868786692619324,-1.3057849407196045,0.5123215913772583,0.7686217427253723,0.9048607349395752,-1.077162504196167,0.15325164794921875,0.8689036965370178,0.5401041507720947,-1.4858084917068481,0.40191352367401123
