t,0_x,0_y,0_z,0_v,1_x,1_y,1_z,1_v,2_x,2_y,2_z,2_v,3_x,3_y,3_z,3_v,4_x,4_y,4_z,4_v,5_x,5_y,5_z,5_v,6_x,6_y,6_z,6_v,7_x,7_y,7_z,7_v,8_x,8_y,8_z,8_v,9_x,9_y,9_z,9_v,10_x,10_y,10_z,10_v,11_x,11_y,11_z,11_v,12_x,12_y,12_z,12_v,13_x,13_y,13_z,13_v,14_x,14_y,14_z,14_v,15_x,15_y,15_z,15_v,16_x,16_y,16_z,16_v,17_x,17_y,17_z,17_v,18_x,18_y,18_z,18_v,19_x,19_y,19_z,19_v,20_x,20_y,20_z,20_v,21_x,21_y,21_z,21_v,22_x,22_y,22_z,22_v,23_x,23_y,23_z,23_v,24_x,24_y,24_z,24_v,25_x,25_y,25_z,25_v,26_x,26_y,26_z,26_v,27_x,27_y,27_z,27_v,28_x,28_y,28_z,28_v,29_x,29_y,29_z,29_v,30_x,30_y,30_z,30_v,31_x,31_y,31_z,31_v,32_x,32_y,32_z,32_v
0.0,0.40257081389427185,0.32106226682662964,-1.0236247777938843,0.9210754632949829,0.39476099610328674,0.2998788058757782,-1.0394212007522583,0.9548322558403015,0.40121790766716003,0.29457923769950867,-1.039336085319519,0.9396389722824097,0.4076811373233795,0.28933456540107727,-1.0396326780319214,0.9465681314468384,0.37856677174568176,0.31262025237083435,-1.0282704830169678,0.9597977995872498,0.37272748351097107,0.31641533970832825,-1.028557538986206,0.9487524032592773,0.3670843839645386,0.3202565908432007,-1.0291197299957275,0.9728267192840576,0.4204182028770447,0.27927732467651367,-0.9277681708335876,0.9139952063560486,0.368145614862442,0.32400625944137573,-0.8824252486228943,0.9618449807167053,0.42925378680229187,0.32031238079071045,-0.9691744446754456,0.9358688592910767,0.409042626619339,0.3356536030769348,-0.9556549191474915,0.9697917103767395,0.49598175287246704,0.2834448218345642,-0.7939097285270691,0.9182174801826477,0.39686262607574463,0.38723209500312805,-0.6251085996627808,0.988744854927063,0.518606424331665,0.3521121144294739,-0.68465656042099,0.3667653501033783,0.4339626729488373,0.484998881816864,-0.5551953911781311,0.38961344957351685,0.46842721104621887,0.38675451278686523,-0.6073583364486694,0.1912672072649002,0.4540693461894989,0.5553508996963501,-0.6891058683395386,0.5468393564224243,0.450430303812027,0.39309242367744446,-0.6608152389526367,0.12278629094362259,0.4307517111301422,0.5755970478057861,-0.7380771040916443,0.4886479675769806,0.42761048674583435,0.39070481061935425,-0.6614804267883301,0.13954631984233856,0.43558043241500854,0.5694984197616577,-0.7739402055740356,0.5494190454483032,0.4330083727836609,0.3912091851234436,-0.6114251613616943,0.1290784627199173,0.45378801226615906,0.556486964225769,-0.7104608416557312,0.5765572190284729,0.6807466745376587,0.3190172612667084,-0.05091020464897156,0.9748780131340027,0.629697859287262,0.3790540099143982,0.05006924644112587,0.9835442900657654,0.7474551796913147,0.3495979607105255,0.4682179093360901,0.09729472547769547,0.6565700173377991,0.40373820066452026,0.5246952772140503,0.03511052578687668,0.8145612478256226,0.3756098449230194,0.9910897612571716,0.18089747428894043,0.742074191570282,0.44235292077064514,1.0600087642669678,0.06280919164419174,0.8103934526443481,0.3771696090698242,1.0388867855072021,0.12802009284496307,0.7524562478065491,0.4404374957084656,1.1129462718963623,0.06726422160863876,0.8732818365097046,0.39799296855926514,0.9151418209075928,0.19542060792446136,0.7910488247871399,0.48092132806777954,1.0091394186019897,0.1229008287191391
0.033,0.43250390887260437,0.3159790337085724,-0.85203617811203,0.896223247051239,0.4102014899253845,0.29982659220695496,-0.875126838684082,0.9293939471244812,0.41080257296562195,0.294583261013031,-0.8749819993972778,0.9143592715263367,0.41227641701698303,0.28943994641304016,-0.875220000743866,0.917422890663147,0.40847641229629517,0.31245845556259155,-0.8783442378044128,0.9438380599021912,0.4073665738105774,0.3162490427494049,-0.8787489533424377,0.935248851776123,0.40641218423843384,0.32007619738578796,-0.8795093894004822,0.9586389660835266,0.4199599027633667,0.27998384833335876,-0.836220383644104,0.8887127637863159,0.40506136417388916,0.32400426268577576,-0.852383553981781,0.952683687210083,0.44785356521606445,0.3125135600566864,-0.8257838487625122,0.9025782942771912,0.4453222155570984,0.3261253237724304,-0.830603301525116,0.949253499507904,0.47765615582466125,0.2654607892036438,-0.6733062267303467,0.9155924916267395,0.43353787064552307,0.38957053422927856,-0.6658897995948792,0.9891765117645264,0.5189715027809143,0.27235040068626404,-0.3787260055541992,0.3433530032634735,0.45833468437194824,0.4891391098499298,-0.6914328932762146,0.4313322603702545,0.4898926317691803,0.2550342082977295,-0.21662583947181702,0.2246994525194168,0.48199859261512756,0.5560452342033386,-0.8343344926834106,0.5850757956504822,0.47178736329078674,0.24311289191246033,-0.20251590013504028,0.16215753555297852,0.47085171937942505,0.5795046091079712,-0.8766189217567444,0.5297197699546814,0.4385198652744293,0.25947973132133484,-0.2191310077905655,0.18216751515865326,0.47049108147621155,0.5708452463150024,-0.9034253358840942,0.5862014889717102,0.46866440773010254,0.2532365620136261,-0.2219439148902893,0.1712929606437683,0.4772367775440216,0.5565420985221863,-0.8553121089935303,0.6091497540473938,0.623154878616333,0.307044118642807,0.013534384779632092,0.976852297782898,0.6127750277519226,0.3777807056903839,-0.013891790993511677,0.9850507378578186,0.6868702173233032,0.29943642020225525,0.5233761072158813,0.089193195104599,0.6562210321426392,0.401684433221817,0.4545423984527588,0.036682356148958206,0.7470178604125977,0.2914581000804901,1.0677776336669922,0.16685469448566437,0.7435585856437683,0.4420052468776703,0.9667263627052307,0.06592728197574615,0.7373788356781006,0.28996118903160095,1.1197208166122437,0.12112361937761307,0.7511157393455505,0.43975481390953064,1.0128968954086304,0.06807070225477219,0.8257218599319458,0.2999952733516693,1.0100280046463013,0.18237490952014923,0.8196468949317932,0.4746423661708832,0.8680614829063416,0.1170530766248703
0.066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.133,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.166,0.5005295276641846,0.31643232703208923,0.264729768037796,0.901060163974762,0.4687899947166443,0.3157825171947479,0.26611918210983276,0.9312254190444946,0.4523189067840576,0.2978884279727936,0.2659614384174347,0.9179447293281555,0.4515097439289093,0.29687896370887756,0.2656494379043579,0.9215844869613647,0.4689474105834961,0.3172103762626648,0.28346315026283264,0.9463497400283813,0.4700976610183716,0.31716781854629517,0.2835705280303955,0.9388414025306702,0.4703996181488037,0.3171005845069885,0.28304392099380493,0.9597200155258179,0.4760532081127167,0.29019609093666077,0.29563817381858826,0.8948150873184204,0.485250860452652,0.3185332417488098,0.37656840682029724,0.955524742603302,0.515723466873169,0.3114036023616791,0.27496078610420227,0.9077464938163757,0.517898678779602,0.32278555631637573,0.2978649139404297,0.9515243172645569,0.5225200057029724,0.2889431118965149,0.13512326776981354,0.923686683177948,0.5426762700080872,0.3268412947654724,0.42719796299934387,0.9897128343582153,0.5553492307662964,0.3448961675167084,-0.019185148179531097,0.341617614030838,0.5674275159835815,0.3624151945114136,0.14132463932037354,0.3926857113838196,0.48228397965431213,0.3764953017234802,-0.07203974574804306,0.21075735986232758,0.47849300503730774,0.37042421102523804,-0.2684355676174164,0.5339003205299377,0.4764532446861267,0.3882893919944763,-0.11442983895540237,0.15552480518817902,0.47351983189582825,0.3744976818561554,-0.30659666657447815,0.48722371459007263,0.46349892020225525,0.384829044342041,-0.0747096836566925,0.17360790073871613,0.4609958529472351,0.36944976449012756,-0.30171236395835876,0.5381273031234741,0.4734795391559601,0.38267242908477783,-0.058768704533576965,0.16516299545764923,0.4662092328071594,0.36560678482055664,-0.2754226326942444,0.55938321352005,0.7985291481018066,0.3045298159122467,-0.11867789179086685,0.9790862202644348,0.7974327802658081,0.33116886019706726,0.11848396807909012,0.98649001121521,0.7437341809272766,0.4403390884399414,-0.24813701212406158,0.16669592261314392,0.6519679427146912,0.41270554065704346,-0.16613195836544037,0.06869767606258392,0.8906174898147583,0.6046854257583618,-0.5337337851524353,0.22175419330596924,0.881805419921875,0.5676397681236267,-0.4495875835418701,0.09523582458496094,0.9406136274337769,0.6179025173187256,-0.556919515132904,0.18534575402736664,0.9381066560745239,0.5824294686317444,-0.4765186011791229,0.12201850861310959,0.8695670366287231,0.6824396848678589,-0.6955368518829346,0.22254936397075653,0.905407726764679,0.6236114501953125,-0.5979390144348145,0.13704071938991547
0.2,0.5062325596809387,0.38029244542121887,0.36141979694366455,0.9108952879905701,0.49428582191467285,0.37658753991127014,0.4196121394634247,0.9380044341087341,0.4937787652015686,0.3713635802268982,0.4199666976928711,0.9260823726654053,0.4951324462890625,0.36642321944236755,0.41967105865478516,0.9293468594551086,0.4961187243461609,0.38770008087158203,0.39351266622543335,0.951664924621582,0.4983956217765808,0.3909384310245514,0.39355602860450745,0.9449201822280884,0.5007495284080505,0.39417779445648193,0.3931022584438324,0.9636890888214111,0.5119259357452393,0.3474210500717163,0.6177716255187988,0.905310332775116,0.5156541466712952,0.3903989791870117,0.5068554878234863,0.9599660038948059,0.5201311707496643,0.3634212911128998,0.4238291084766388,0.9169414639472961,0.5222584009170532,0.37594375014305115,0.39315012097358704,0.9563378691673279,0.5691031217575073,0.28731653094291687,0.6619534492492676,0.9313088059425354,0.5604475140571594,0.4055408835411072,0.4121606945991516,0.9907377362251282,0.5814958810806274,0.24220532178878784,0.7224823832511902,0.3374110758304596,0.5661736726760864,0.5189400911331177,0.2657816708087921,0.44716712832450867,0.49743103981018066,0.24146148562431335,0.7232213616371155,0.20760971307754517,0.5188799500465393,0.6814249753952026,0.05823717638850212,0.5762563943862915,0.47763416171073914,0.2587178945541382,0.7709752321243286,0.15616793930530548,0.493399053812027,0.6774535775184631,0.03138995170593262,0.5325776934623718,0.4666939675807953,0.244636669754982,0.7540278434753418,0.17472738027572632,0.4864058196544647,0.6712008118629456,0.0032683841418474913,0.5790834426879883,0.47592630982398987,0.25044968724250793,0.7106168270111084,0.17067542672157288,0.4973348081111908,0.6511847972869873,0.036232106387615204,0.5982049107551575,0.7975777387619019,0.3182009756565094,0.0790155902504921,0.9811343550682068,0.8096247315406799,0.369378000497818,-0.07917427271604538,0.9878158569335938,0.7724976539611816,0.49382540583610535,-0.004320349544286728,0.24396304786205292,0.810061514377594,0.5264320969581604,-0.4171115756034851,0.1609591394662857,0.8452202081680298,0.6929174065589905,-0.12402906268835068,0.28648245334625244,0.8858070373535156,0.7174971103668213,-0.5322922468185425,0.18310938775539398,0.8607499003410339,0.7338226437568665,-0.1397557258605957,0.2593975067138672,0.8931321501731873,0.7365795969963074,-0.5410216450691223,0.20841416716575623,0.8702965378761292,0.7664562463760376,-0.3710976243019104,0.28145936131477356,0.9657118916511536,0.7916795015335083,-0.767035722732544,0.21878233551979065
0.233,0.5723082423210144,0.36676058173179626,-0.6610382795333862,0.9195472002029419,0.558987557888031,0.35983598232269287,-0.6866260766983032,0.943467915058136,0.5614299178123474,0.3520981967449188,-0.6859911680221558,0.9329372644424438,0.5630418658256531,0.3470449447631836,-0.6862062215805054,0.9357807040214539,0.5551837682723999,0.3707300126552582,-0.6910603642463684,0.9562254548072815,0.5539353489875793,0.3739258348941803,-0.6911535263061523,0.9502519965171814,0.5527790784835815,0.37716901302337646,-0.6915397644042969,0.9670580625534058,0.5575713515281677,0.3300018310546875,-0.6412033438682556,0.91457200050354,0.544321596622467,0.37159162759780884,-0.6472717523574829,0.9639313817024231,0.5789933204650879,0.3513904809951782,-0.6274981498718262,0.92498779296875,0.5752257108688354,0.3653525710105896,-0.629242479801178,0.9604970216751099,0.576630175113678,0.26789915561676025,-0.412147581577301,0.937919020652771,0.5579051971435547,0.3997090458869934,-0.5618531107902527,0.9916557669639587,0.5783305168151855,0.24955840408802032,0.14465217292308807,0.3316176235675812,0.5538327097892761,0.5336373448371887,-0.6745098233222961,0.5007032752037048,0.5252846479415894,0.24612855911254883,0.5757845044136047,0.19985917210578918,0.5274845361709595,0.7022809982299805,-0.7436510920524597,0.6160575747489929,0.5306714177131653,0.23957864940166473,0.7080071568489075,0.1534908264875412,0.5208631157875061,0.7371829152107239,-0.7233824729919434,0.5727524757385254,0.5200850367546082,0.24889738857746124,0.679959237575531,0.17191514372825623,0.5195057988166809,0.7417090535163879,-0.7927234172821045,0.6156153082847595,0.5241672992706299,0.2553527057170868,0.5805588364601135,0.17246489226818085,0.5331034064292908,0.7290763258934021,-0.7764847278594971,0.6327599883079529,0.8070046901702881,0.31067320704460144,0.05447643995285034,0.9830019474029541,0.8089808821678162,0.3664752244949341,-0.05420806258916855,0.9890249967575073,0.8029540181159973,0.48580750823020935,-0.2511517107486725,0.29483091831207275,0.8527325391769409,0.4895876348018646,-0.27010658383369446,0.24071934819221497,0.8357748985290527,0.680497944355011,-0.1566792130470276,0.3406416177749634,0.8879533410072327,0.6767277121543884,-0.28630876541137695,0.25570210814476013,0.8411016464233398,0.7354485988616943,-0.2533276379108429,0.3219744861125946,0.8801297545433044,0.6957563161849976,-0.28777432441711426,0.28136369585990906,0.8709632754325867,0.7605605721473694,-0.5602941513061523,0.3396690785884857,0.980298638343811,0.7377183437347412,-0.4294145703315735,0.2853192090988159
0.266,0.557007372379303,0.36314430832862854,-0.38441210985183716,0.9272465705871582,0.538722813129425,0.3549969792366028,-0.3828684687614441,0.9483579993247986,0.5373165607452393,0.34740206599235535,-0.38252490758895874,0.9388803243637085,0.5379213690757751,0.3414497673511505,-0.38292452692985535,0.9414898157119751,0.5372976660728455,0.36826905608177185,-0.389621376991272,0.9603366851806641,0.5370979309082031,0.3724665343761444,-0.38966459035873413,0.9550188779830933,0.5368337035179138,0.3767312169075012,-0.39021486043930054,0.9701346158981323,0.5400024652481079,0.3229678273200989,-0.2694263458251953,0.9227235913276672,0.5347322821617126,0.37165066599845886,-0.29293304681777954,0.9674957394599915,0.5666037201881409,0.34614381194114685,-0.32959526777267456,0.9322189092636108,0.5652271509170532,0.36222943663597107,-0.33671918511390686,0.9642986059188843,0.5690452456474304,0.2563401162624359,-0.13162946701049805,0.9439763426780701,0.5530180931091309,0.3969539403915405,-0.20958463847637177,0.9924769401550293,0.5767483115196228,0.20863400399684906,0.1509966105222702,0.35330647230148315,0.5212454795837402,0.5516246557235718,-0.2750276029109955,0.5465074777603149,0.5239266753196716,0.22618955373764038,0.5595529675483704,0.20034034550189972,0.5298426747322083,0.7039008736610413,-0.4878198206424713,0.6416719555854797,0.5032593607902527,0.2445097714662552,0.6697518229484558,0.15265250205993652,0.526315450668335,0.7095063328742981,-0.7173869013786316,0.5952187180519104,0.4853002429008484,0.24754050374031067,0.6724854707717896,0.1699087768793106,0.5264002680778503,0.6993587613105774,-0.5366019606590271,0.6362259984016418,0.5102303624153137,0.24505095183849335,0.5697512626647949,0.17361781001091003,0.5355603098869324,0.7237570285797119,-0.4932052195072174,0.6530537009239197,0.8622755408287048,0.3066757321357727,0.018201934173703194,0.9845691919326782,0.8554599285125732,0.3631724715232849,-0.017731444910168648,0.9900758862495422,0.8492250442504883,0.49267470836639404,-0.050452347844839096,0.3554879426956177,0.84546959400177,0.5260636806488037,-0.3221960663795471,0.31054332852363586,0.840569257736206,0.7220043540000916,-0.04496302083134651,0.38558754324913025,0.9249835014343262,0.7226938009262085,-0.447357177734375,0.32160356640815735,0.8523765802383423,0.7379432320594788,-0.04559094086289406,0.3736969232559204,0.9072476625442505,0.7413836121559143,-0.4463063180446625,0.346544474363327,0.8625310659408569,0.7970335483551025,-0.21288396418094635,0.3846132755279541,0.9935135245323181,0.7944229245185852,-0.6450480222702026,0.3470431864261627
0.3,0.5487523674964905,0.35714733600616455,-0.6051690578460693,0.9235442876815796,0.5277922749519348,0.3422732651233673,-0.6262490153312683,0.927790105342865,0.5231286287307739,0.3419065475463867,-0.6261306405067444,0.9235774278640747,0.5233128666877747,0.3311496675014496,-0.6265972852706909,0.9236817955970764,0.5268253087997437,0.3660082519054413,-0.6310670971870422,0.9516865015029907,0.5272282958030701,0.36572209000587463,-0.6309935450553894,0.9511309862136841,0.5273552536964417,0.36708223819732666,-0.6314578056335449,0.9627712965011597,0.5299913883209229,0.30624502897262573,-0.5515055656433105,0.9202730059623718,0.5209084153175354,0.36350393295288086,-0.5627233982086182,0.9685580134391785,0.5596228241920471,0.3338504433631897,-0.5575532913208008,0.9326640963554382,0.559210479259491,0.35507944226264954,-0.5613209009170532,0.9638357758522034,0.5258103609085083,0.22552736103534698,-0.4975685477256775,0.9489915370941162,0.5158116817474365,0.38975629210472107,-0.4193679690361023,0.9931432008743286,0.47656798362731934,0.17774201929569244,-0.3758997619152069,0.40046122670173645,0.49737679958343506,0.5412342548370361,-0.5310956239700317,0.5902680158615112,0.5135732293128967,0.22285190224647522,-0.08281135559082031,0.2081504464149475,0.5282508134841919,0.7168635725975037,-0.7459454536437988,0.6706748604774475,0.5022011995315552,0.21563366055488586,-0.0060018268413841724,0.15588030219078064,0.5363107323646545,0.7461079955101013,-0.7583693861961365,0.6214161515235901,0.48380550742149353,0.24226604402065277,-0.0007001270423643291,0.17296133935451508,0.5386199355125427,0.7324341535568237,-0.8067746162414551,0.6594834923744202,0.5059928894042969,0.23998570442199707,-0.0719061940908432,0.18526117503643036,0.5378627181053162,0.7344046831130981,-0.7770772576332092,0.675123929977417,0.8636370301246643,0.2819465696811676,-0.0060615842230618,0.9839602708816528,0.8499106168746948,0.36148780584335327,0.006267551798373461,0.9898681044578552,0.9026954174041748,0.48204296827316284,-0.06862200796604156,0.3799351453781128,0.8997660279273987,0.5065353512763977,-0.33898216485977173,0.3509383499622345,0.8957214951515198,0.6936839818954468,-0.14443442225456238,0.3763323724269867,0.9343209266662598,0.7069121599197388,-0.4367348551750183,0.338132381439209,0.8723292946815491,0.7189900875091553,-0.1375579684972763,0.37271440029144287,0.915458083152771,0.7251985669136047,-0.43415170907974243,0.3638375699520111,0.9273551106452942,0.7740563154220581,-0.2915895879268646,0.37658360600471497,0.9861653447151184,0.7709382772445679,-0.6192986369132996,0.35581594705581665
