t,0_x,0_y,0_z,0_v,1_x,1_y,1_z,1_v,2_x,2_y,2_z,2_v,3_x,3_y,3_z,3_v,4_x,4_y,4_z,4_v,5_x,5_y,5_z,5_v,6_x,6_y,6_z,6_v,7_x,7_y,7_z,7_v,8_x,8_y,8_z,8_v,9_x,9_y,9_z,9_v,10_x,10_y,10_z,10_v,11_x,11_y,11_z,11_v,12_x,12_y,12_z,12_v,13_x,13_y,13_z,13_v,14_x,14_y,14_z,14_v,15_x,15_y,15_z,15_v,16_x,16_y,16_z,16_v,17_x,17_y,17_z,17_v,18_x,18_y,18_z,18_v,19_x,19_y,19_z,19_v,20_x,20_y,20_z,20_v,21_x,21_y,21_z,21_v,22_x,22_y,22_z,22_v,23_x,23_y,23_z,23_v,24_x,24_y,24_z,24_v,25_x,25_y,25_z,25_v,26_x,26_y,26_z,26_v,27_x,27_y,27_z,27_v,28_x,28_y,28_z,28_v,29_x,29_y,29_z,29_v,30_x,30_y,30_z,30_v,31_x,31_y,31_z,31_v,32_x,32_y,32_z,32_v
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.033,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.133,0.2375476360321045,0.6701328754425049,-1.2633308172225952,0.9351476430892944,0.31006622314453125,0.7248224020004272,-1.314378261566162,0.9229837656021118,0.30182337760925293,0.7356588840484619,-1.3151148557662964,0.9387905597686768,0.2927902340888977,0.7462093830108643,-1.3167853355407715,0.9226141571998596,0.3550175428390503,0.6961084604263306,-1.3973112106323242,0.9443235397338867,0.38111746311187744,0.6863584518432617,-1.3976799249649048,0.9510582089424133,0.4071112871170044,0.6766854524612427,-1.3993232250213623,0.9488492012023926,0.3572193384170532,0.7653402090072632,-1.001145362854004,0.9733464121818542,0.5248508453369141,0.6607481837272644,-1.357215404510498,0.9789407849311829,0.2321450114250183,0.6599719524383545,-1.0695308446884155,0.9790927171707153,0.2857227325439453,0.6265872716903687,-1.1750398874282837,0.9898695349693298,0.15198904275894165,0.7411673069000244,-0.48107457160949707,0.9958927631378174,0.7511084079742432,0.43900182843208313,-0.7975412011146545,0.9970002770423889,-0.38555631041526794,0.6031284332275391,-0.07644695788621902,0.5341500043869019,0.6804556846618652,0.11890514940023422,-1.636446475982666,0.754612147808075,-0.53338623046875,0.5846813917160034,-0.17419712245464325,0.4622357487678528,0.7207396030426025,0.37116140127182007,-2.6077370643615723,0.8153799772262573,-0.57769775390625,0.5918080806732178,-0.19342182576656342,0.41949546337127686,0.6700973510742188,0.4428367018699646,-2.7509982585906982,0.7580540180206299,-0.5562165379524231,0.6193726062774658,-0.2663063108921051,0.4211297333240509,0.780148983001709,0.49537038803100586,-2.6802024841308594,0.7597972750663757,-0.5110703706741333,0.6007747650146484,-0.19908209145069122,0.466104120016098,0.7708582878112793,0.4788063168525696,-2.5978105068206787,0.7406363487243652,-0.3220174312591553,0.1396304965019226,0.09711398929357529,0.9480806589126587,0.00010132789611816406,-0.038720760494470596,-0.09610053151845932,0.956475019454956,-0.9545623660087585,-0.2795456051826477,0.5448268055915833,0.4923199415206909,-0.7144275903701782,-0.4370930790901184,0.38580673933029175,0.5121161937713623,-1.6187750101089478,-0.5863720178604126,1.6399054527282715,0.12424042075872421,-1.3425761461257935,-0.8036523461341858,1.264230728149414,0.22929926216602325,-1.6780810356140137,-0.6346258521080017,1.7136024236679077,0.07530686259269714,-1.4253324270248413,-0.8483381867408752,1.3290328979492188,0.16167189180850983,-1.8219817876815796,-0.6829540133476257,0.965975821018219,0.20155976712703705,-1.5147017240524292,-0.8986443877220154,0.4802243709564209,0.12815481424331665
0.166,0.2523355484008789,0.8503145575523376,-2.1176726818084717,0.9277768731117249,0.3087210953235626,0.9032851457595825,-2.1172845363616943,0.902974009513855,0.2396405041217804,0.9022142291069031,-2.117466688156128,0.9168881773948669,0.22994191944599152,0.9010751247406006,-2.1180849075317383,0.8893858194351196,0.35363245010375977,0.8739842772483826,-2.225276470184326,0.9381917119026184,0.3797736167907715,0.8647423386573792,-2.2259817123413086,0.9468164443969727,0.40592870116233826,0.8554513454437256,-2.2281696796417236,0.9443486332893372,0.33145931363105774,0.9041973948478699,-1.680214762687683,0.9448537826538086,0.5236965417861938,0.8390430808067322,-2.1797144412994385,0.9788269996643066,0.2571670413017273,0.838610053062439,-1.9037036895751953,0.9694674611091614,0.31596848368644714,0.8059905171394348,-2.044112205505371,0.9883087873458862,0.2645041346549988,0.9065824747085571,-1.0122438669204712,0.9907145500183105,0.7775529623031616,0.5466152429580688,-1.6429963111877441,0.9969247579574585,-0.11373617500066757,0.8792383074760437,-0.12753954529762268,0.5089261531829834,0.7401455044746399,0.10866238176822662,-1.7661950588226318,0.769696056842804,-0.2076272964477539,1.0713034868240356,0.19201475381851196,0.46670472621917725,0.9172849059104919,-0.04770931228995323,-2.111496686935425,0.8121107816696167,-0.21464264392852783,1.1357693672180176,0.2561221718788147,0.4179804027080536,0.9425437450408936,-0.1084570586681366,-2.128115653991699,0.7560973763465881,-0.2556789219379425,1.1590739488601685,0.14901253581047058,0.4224480986595154,0.9902496337890625,-0.07934124022722244,-2.346883535385132,0.7611293792724609,-0.23232927918434143,1.1130578517913818,0.1360432356595993,0.4713863134384155,0.9573654532432556,-0.04721991717815399,-2.199099540710449,0.7451097369194031,-0.17593377828598022,0.2644117474555969,0.17998938262462616,0.9500256180763245,0.16711227595806122,0.09940988570451736,-0.17949986457824707,0.9595049619674683,-0.47884267568588257,-0.14169056713581085,1.281846284866333,0.4823618233203888,-0.22030207514762878,-0.305301696062088,0.6619543433189392,0.5172848105430603,-0.9574901461601257,-0.4262341856956482,2.9502086639404297,0.15019749104976654,-0.7118862867355347,-0.664245069026947,2.082749128341675,0.2578732371330261,-0.9970013499259949,-0.47641757130622864,3.082460880279541,0.11124579608440399,-0.748665452003479,-0.6982171535491943,2.1977152824401855,0.19037698209285736,-1.1751848459243774,-0.5117118954658508,2.4860029220581055,0.234191432595253,-0.9289002418518066,-0.8182467222213745,1.361627459526062,0.15649348497390747
0.2,0.1484106332063675,0.9310674667358398,-1.7428895235061646,0.9324426054954529,0.10275361686944962,0.9647171497344971,-1.7337433099746704,0.9087105393409729,0.07959041744470596,0.9700460433959961,-1.7337356805801392,0.9217394590377808,0.06617675721645355,0.9750266671180725,-1.733901858329773,0.8955005407333374,0.14284518361091614,0.9442821741104126,-1.7315187454223633,0.940753161907196,0.16213956475257874,0.9369707703590393,-1.7307828664779663,0.9489852786064148,0.18148058652877808,0.929559051990509,-1.7321455478668213,0.9468947052955627,0.09426708519458771,0.9700145721435547,-1.412614345550537,0.9449212551116943,0.25307974219322205,0.9045069217681885,-2.151665449142456,0.9798870086669922,0.167750284075737,0.9147186875343323,-1.611886739730835,0.9707216620445251,0.22836743295192719,0.893571674823761,-1.9227145910263062,0.988227903842926,0.18326729536056519,0.9431893825531006,-0.9789761304855347,0.9894489049911499,0.6194446086883545,0.6336134672164917,-1.2957689762115479,0.9947345852851868,-0.07797879725694656,0.9336757063865662,-0.4883542060852051,0.5013675093650818,0.6450187563896179,0.2795959711074829,-1.066602349281311,0.782355546951294,-0.08535215258598328,1.0790377855300903,-0.3124896287918091,0.47989657521247864,0.7307103276252747,0.12205877900123596,-1.0014972686767578,0.8230130672454834,-0.09700489044189453,1.1071662902832031,-0.3724324107170105,0.4329114854335785,0.7556280493736267,0.11716704815626144,-1.0153459310531616,0.7697944641113281,-0.09506883472204208,1.1215676069259644,-0.39225807785987854,0.4398048222064972,0.7347182035446167,0.15483658015727997,-1.1587483882904053,0.7760708332061768,-0.06846152245998383,1.0996191501617432,-0.3429569900035858,0.49140065908432007,0.7106900215148926,0.1746126264333725,-1.0561840534210205,0.7634333372116089,-0.127945676445961,0.4368912875652313,0.13971304893493652,0.9547602534294128,0.22033464908599854,0.28911730647087097,-0.13626721501350403,0.9632423520088196,-0.3643074929714203,0.1248951330780983,0.5954204201698303,0.5238645672798157,0.18399426341056824,-0.1151893138885498,0.4459720551967621,0.5411757230758667,-0.6319458484649658,-0.12183688580989838,2.3168115615844727,0.19496667385101318,-0.019188258796930313,-0.18081966042518616,2.1911799907684326,0.2518112063407898,-0.6213909387588501,-0.15058766305446625,2.4150404930114746,0.15159301459789276,-0.045296039432287216,-0.15921713411808014,2.394575357437134,0.19008825719356537,-0.8743696212768555,-0.282998651266098,1.9969227313995361,0.2532503604888916,-0.20303042232990265,-0.3264388144016266,2.162086009979248,0.1568296104669571
0.233,0.09391020238399506,0.90924072265625,-1.321885585784912,0.8994007706642151,0.07946239411830902,0.9521694779396057,-1.3874658346176147,0.8686575293540955,0.06827354431152344,0.9593297839164734,-1.3876413106918335,0.8786328434944153,0.058993857353925705,0.9661818146705627,-1.3876839876174927,0.8474932312965393,0.10741149634122849,0.9337908625602722,-1.4241150617599487,0.9104160666465759,0.12464573979377747,0.9280461072921753,-1.424293875694275,0.9194437861442566,0.14226771891117096,0.9222785234451294,-1.4263393878936768,0.9216660261154175,0.08758644759654999,0.9738732576370239,-1.3268623352050781,0.8909306526184082,0.2067480832338333,0.9092785716056824,-2.0714309215545654,0.9679077863693237,0.10254540294408798,0.8956472873687744,-1.3180235624313354,0.943566620349884,0.14860816299915314,0.8757095336914062,-1.4620481729507446,0.9750971794128418,0.10885490477085114,0.9196962714195251,-0.8590932488441467,0.9747191667556763,0.5401713848114014,0.6793072819709778,-1.2598397731781006,0.9936378002166748,-0.07769502699375153,0.8384847044944763,-0.07850731164216995,0.4614159166812897,0.6389627456665039,0.2996594309806824,-1.1516681909561157,0.7912163734436035,-0.08653657883405685,0.9466474652290344,0.37259143590927124,0.4461079239845276,0.6730301380157471,0.17404837906360626,-1.2089884281158447,0.825348973274231,-0.07475791126489639,1.0294535160064697,0.3446865677833557,0.4045262336730957,0.6793991327285767,0.17709915339946747,-1.2480595111846924,0.776261568069458,-0.09153253585100174,1.047827124595642,0.2902006208896637,0.411232054233551,0.6612576246261597,0.21538133919239044,-1.377482295036316,0.7838240265846252,-0.06601692736148834,0.9829676151275635,0.3426989018917084,0.46170952916145325,0.6356974840164185,0.23614788055419922,-1.2573111057281494,0.7742818593978882,-0.13364668190479279,0.38689568638801575,0.17592918872833252,0.9581470489501953,0.2039787769317627,0.28142547607421875,-0.1733153760433197,0.9664943218231201,-0.2528854012489319,0.040913842618465424,1.3698680400848389,0.5322532057762146,0.11824292689561844,-0.10103965550661087,0.7925764918327332,0.5612833499908447,-0.444396436214447,-0.21612228453159332,2.9672417640686035,0.22160077095031738,-0.18772153556346893,-0.3459269404411316,2.2374064922332764,0.2747129499912262,-0.42967328429222107,-0.2515715956687927,3.102168321609497,0.1831285059452057,-0.20417791604995728,-0.3520036041736603,2.386018991470337,0.20672385394573212,-0.6585051417350769,-0.35452044010162354,2.6606783866882324,0.27622079849243164,-0.3815665543079376,-0.5267471075057983,1.798416018486023,0.1844077855348587
0.266,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
